Year, Month, Day, Hour, Hs [m], Tp [s], Tz [s], Dm [deg]
350,7,1,0,1.01,7.63,5.41,267.57
350,7,1,3,0.98,7.7,5.46,270.24
350,7,1,6,0.96,7.75,5.5,272.37
350,7,1,9,0.94,7.78,5.52,274.27
350,7,1,12,0.92,7.76,5.5,276.27
350,7,1,15,0.91,7.7,5.46,278.46
350,7,1,18,0.92,7.54,5.35,281.68
350,7,1,21,0.96,7.09,5.03,289.4
350,7,2,0,1.01,6.89,4.88,297.96
350,7,2,3,1.04,6.9,4.89,303.73
350,7,2,6,1.06,6.98,4.95,308.58
350,7,2,9,1.07,7.03,4.98,313.9
350,7,2,12,1.08,7.06,5,320.1
350,7,2,15,1.11,7,4.97,330.59
350,7,2,18,1.14,6.98,4.95,341.33
350,7,2,21,1.17,6.95,4.93,350.17
350,7,3,0,1.2,6.86,4.97,355.48
350,7,3,3,1.22,6.88,5.08,358.61
350,7,3,6,1.23,6.96,5.2,0.68
350,7,3,9,1.24,7.08,5.29,1.94
350,7,3,12,1.24,7.19,5.35,2.44
350,7,3,15,1.24,7.29,5.39,2.23
350,7,3,18,1.25,7.36,5.38,1.5
350,7,3,21,1.25,7.39,5.35,0.55
350,7,4,0,1.22,7.41,5.35,359.63
350,7,4,3,1.18,7.41,5.36,359.12
350,7,4,6,1.13,7.37,5.36,358.92
350,7,4,9,1.08,7.32,5.35,358.74
350,7,4,12,1.04,7.27,5.33,358.6
350,7,4,15,0.99,7.23,5.3,358.55
350,7,4,18,0.96,7.2,5.28,358.56
350,7,4,21,0.93,7.17,5.26,358.53
350,7,5,0,0.9,7.15,5.24,358.33
350,7,5,3,0.87,7.13,5.24,357.89
350,7,5,6,0.84,7.11,5.23,357.2
350,7,5,9,0.81,7.11,5.22,356.22
350,7,5,12,0.78,7.1,5.21,354.95
350,7,5,15,0.76,7.09,5.2,353.38
350,7,5,18,0.74,7.09,5.19,351.47
350,7,5,21,0.72,7.09,5.19,349.17
350,7,6,0,0.7,7.1,5.18,346.47
350,7,6,3,0.69,7.11,5.18,343.39
350,7,6,6,0.68,7.15,5.1,340.1
350,7,6,9,0.68,6.99,4.95,337.58
350,7,6,12,0.67,7.03,4.98,333.87
350,7,6,15,0.67,7.09,5.03,329.75
350,7,6,18,0.68,7.02,4.98,326.68
350,7,6,21,0.7,6.83,4.84,325.59
350,7,7,0,0.72,6.75,4.79,325.16
350,7,7,3,0.72,6.84,4.85,322.98
350,7,7,6,0.71,6.94,4.92,320.12
350,7,7,9,0.71,7.03,4.99,317.57
350,7,7,12,0.72,7.1,5.04,315.53
350,7,7,15,0.72,7.2,5.1,313.38
350,7,7,18,0.73,7.28,5.16,311.36
350,7,7,21,0.73,7.33,5.19,309.93
350,7,8,0,0.74,7.37,5.23,308.89
350,7,8,3,0.74,7.42,5.27,308.1
350,7,8,6,0.74,7.39,5.29,307.92
350,7,8,9,0.74,7.35,5.31,308.46
350,7,8,12,0.73,7.3,5.3,309.73
350,7,8,15,0.73,7.23,5.28,311.51
350,7,8,18,0.72,7.17,5.23,313.72
350,7,8,21,0.71,7.1,5.19,316.14
350,7,9,0,0.7,7.04,5.16,318.52
350,7,9,3,0.69,6.98,5.14,320.77
350,7,9,6,0.68,6.93,5.12,322.94
350,7,9,9,0.67,6.9,5.1,325.03
350,7,9,12,0.66,6.87,5.09,326.99
350,7,9,15,0.65,6.87,5.08,328.75
350,7,9,18,0.65,6.9,5,330.12
350,7,9,21,0.67,6.84,4.85,331.2
350,7,10,0,0.69,6.77,4.8,333.22
350,7,10,3,0.71,6.87,4.87,336.66
350,7,10,6,0.74,6.95,4.94,340.02
350,7,10,9,0.78,6.98,5.01,342.96
350,7,10,12,0.82,7.01,5.07,345.23
350,7,10,15,0.84,7.05,5.12,346.76
350,7,10,18,0.87,7.08,5.13,347.55
350,7,10,21,0.89,7.06,5.12,348.27
350,7,11,0,0.92,7.03,5.16,349.85
350,7,11,3,0.95,7.02,5.22,351.53
350,7,11,6,0.97,7.02,5.25,352.81
350,7,11,9,0.98,7.01,5.26,353.63
350,7,11,12,0.98,6.98,5.24,354.19
350,7,11,15,0.97,6.93,5.2,354.44
350,7,11,18,0.96,6.87,5.16,354.28
350,7,11,21,0.94,6.81,5.11,353.79
350,7,12,0,0.92,6.77,5.08,353.3
350,7,12,3,0.93,6.75,5.07,353.32
350,7,12,6,0.95,6.79,5.1,354.18
350,7,12,9,1.01,6.92,5.19,355.9
350,7,12,12,1.11,7.13,5.32,358.17
350,7,12,15,1.25,7.39,5.48,0.14
350,7,12,18,1.45,7.68,5.64,1.09
350,7,12,21,1.75,8,5.77,0.53
350,7,13,0,2.1,8.33,5.93,359.23
350,7,13,3,2.39,8.59,6.09,357.67
350,7,13,6,2.59,8.65,6.13,356.44
350,7,13,9,2.7,8.61,6.1,355.63
350,7,13,12,2.73,8.55,6.06,354.58
350,7,13,15,2.75,8.45,5.99,353.07
350,7,13,18,2.81,8.42,5.97,350.67
350,7,13,21,2.93,8.32,5.95,348.23
350,7,14,0,2.94,8.24,5.91,346.39
350,7,14,3,2.75,8.09,5.79,345.27
350,7,14,6,2.47,7.85,5.6,344.41
350,7,14,9,2.2,7.56,5.42,344.01
350,7,14,12,1.95,7.3,5.26,343.39
350,7,14,15,1.79,7.02,5.09,341.78
350,7,14,18,1.71,6.72,4.96,339.04
350,7,14,21,1.69,6.5,4.89,336.67
350,7,15,0,1.59,6.41,4.84,335.7
350,7,15,3,1.45,6.38,4.78,335.19
