Exceedance Prob,Quantile [m],CI 2.5% [m],CI 97.5% [m]
1,-Inf,-Inf,-Inf
0.9326,5.8408,5.5113,6.2322
0.86975,6.165,5.8435,6.5302
0.81113,6.3979,6.0872,6.7518
0.75646,6.5894,6.2752,6.9434
0.70548,6.7567,6.4332,7.1138
0.65793,6.9078,6.5841,7.2628
0.61359,7.0474,6.7157,7.4019
0.57224,7.1783,6.8343,7.5428
0.53367,7.3023,6.9424,7.6776
0.4977,7.4209,7.059,7.8156
0.46416,7.535,7.1615,7.9438
0.43288,7.6453,7.2458,8.0625
0.4037,7.7525,7.3334,8.1707
0.37649,7.8569,7.425,8.2848
0.35112,7.959,7.5144,8.3969
0.32745,8.0591,7.6011,8.5162
0.30539,8.1573,7.6871,8.6354
0.2848,8.254,7.7713,8.7403
0.26561,8.3492,7.8543,8.8437
0.24771,8.4432,7.9328,8.9499
0.23101,8.5361,8.0053,9.0559
0.21544,8.628,8.0849,9.1608
0.20092,8.7189,8.1638,9.2597
0.18738,8.809,8.2268,9.3577
0.17475,8.8984,8.2814,9.4549
0.16298,8.9871,8.3391,9.5538
0.15199,9.0752,8.407,9.6591
0.14175,9.1627,8.4831,9.7631
0.13219,9.2497,8.5588,9.8631
0.12328,9.3362,8.634,9.9538
0.11498,9.4223,8.7089,10.047
0.10723,9.508,8.7798,10.139
0.1,9.5933,8.8569,10.239
0.09326,9.6783,8.9316,10.34
0.086975,9.763,9.0021,10.439
0.081113,9.8474,9.0694,10.534
0.075646,9.9315,9.1364,10.628
0.070548,10.015,9.2032,10.727
0.065793,10.099,9.2706,10.827
0.061359,10.183,9.3411,10.926
0.057224,10.266,9.4078,11.026
0.053367,10.349,9.477,11.126
0.04977,10.432,9.5436,11.225
0.046416,10.515,9.6112,11.327
0.043288,10.597,9.6768,11.425
0.04037,10.68,9.7429,11.52
0.037649,10.762,9.8091,11.616
0.035112,10.844,9.8801,11.71
0.032745,10.927,9.9424,11.804
0.030539,11.009,10.007,11.899
0.02848,11.091,10.073,11.993
0.026561,11.172,10.138,12.089
0.024771,11.254,10.201,12.186
0.023101,11.336,10.263,12.283
0.021544,11.418,10.326,12.38
0.020092,11.499,10.388,12.477
0.018738,11.581,10.45,12.574
0.017475,11.662,10.515,12.676
0.016298,11.744,10.58,12.777
0.015199,11.825,10.645,12.879
0.014175,11.906,10.709,12.98
0.013219,11.988,10.774,13.077
0.012328,12.069,10.839,13.174
0.011498,12.15,10.904,13.27
0.010723,12.231,10.968,13.363
0.01,12.313,11.033,13.457
0.009326,12.394,11.098,13.55
0.0086975,12.475,11.162,13.643
0.0081113,12.556,11.227,13.737
0.0075646,12.637,11.291,13.83
0.0070548,12.718,11.356,13.924
0.0065793,12.799,11.42,14.019
0.0061359,12.88,11.485,14.115
0.0057224,12.961,11.55,14.211
0.0053367,13.042,11.614,14.307
0.004977,13.123,11.679,14.403
0.0046416,13.204,11.743,14.499
0.0043288,13.285,11.807,14.595
0.004037,13.366,11.872,14.688
0.0037649,13.447,11.936,14.779
0.0035112,13.528,12.001,14.871
0.0032745,13.609,12.065,14.969
0.0030539,13.689,12.13,15.067
0.002848,13.77,12.193,15.165
0.0026561,13.851,12.253,15.263
0.0024771,13.932,12.313,15.361
0.0023101,14.013,12.373,15.457
0.0021544,14.094,12.432,15.549
0.0020092,14.175,12.492,15.641
0.0018738,14.255,12.552,15.734
0.0017475,14.336,12.612,15.834
0.0016298,14.417,12.671,15.935
0.0015199,14.498,12.731,16.033
0.0014175,14.579,12.792,16.129
0.0013219,14.659,12.857,16.225
0.0012328,14.74,12.921,16.321
0.0011498,14.821,12.986,16.416
0.0010723,14.902,13.05,16.512
0.001,14.983,13.115,16.608
